,hashtags
0,"['longcovid', 'covidhelp']"
1,"['mumbai', 'covid', 'hospitalbeds', 'covidemergency', 'mahacovid', 'oxygenbed', 'mumbaicovid', 'covid19indiahelp', 'covidhelp', 'covidresources']"
2,"['kawahcoffeeshop', 'coffeelover', 'kawah', 'costarica', 'puravida', 'heredia', 'oxygen']"
3,"['lucknow', 'mumbai', 'hyderabad', 'delhi', 'verified', 'covidresources', 'covidhelp', 'covid19indiahelp']"
4,['oxygen']
5,"['covid19indiahelp', 'mahara']"
6,"['oxygen', 'amadoda']"
7,"['plasmadonordelhi', 'plasmamumbai', 'covid19indiahelp', 'covidhelp', 'covidemergency2021']"
8,"['oxygen', 'conservation', 'wilding', 'rewilding', 'environment', 'sustainability', 'restorative', 'agriculture', 'wildlife', 'biodiversity', 'water', 'wildswim']"
9,"['covid', 'verified', 'mumbai', 'oxygen', 'covidemergency2021', 'covid19', 'covidhelp', 'covidresources']"
